# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = FepLean_Continuous_OU_Linear_Gaussian_Model_stan_model
# start_datetime = 2026-09-04 19:19:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p4b-continuous-emission/gnn_output/12_execute_output/FepLeanContinuousOU/stan/simulation_data/FepLean_Continuous_OU_Linear-Gaussian_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p4b-continuous-emission/gnn_output/12_execute_output/FepLeanContinuousOU/stan/simulation_data/cmdstan/FepLean_Continuous_OU_Linear-Gaussian_Model_stan-20260904121913.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=FepLean_Continuous_OU_Linear-Gaussian_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,obs_noise_scale,mu.1.1,P.1.1.1,log_lik
-3.2676336,0.86728554,1.2249563,1,1,0,3.3576173,0.48451212,-0.49529203,0.32637802,-1.2985676
-2.8430454,1,1.2249563,2,3,0,3.2386917,0.57666992,-0.46634176,0.36575184,-1.3180389
-4.1118191,0.87691954,1.2249563,2,3,0,4.1941828,2.4313588,-0.21427868,0.70857026,-1.6141927
-3.3418264,1,1.2249563,1,1,0,4.0805102,1.9363392,-0.25040262,0.65943989,-1.5495767
-2.3192424,1,1.2249563,1,3,0,3.1016456,0.99796739,-0.36800752,0.49949133,-1.4002956
-2.3290531,0.99883753,1.2249563,2,3,0,2.329289,1.0373038,-0.36090201,0.50915518,-1.4074318
-2.3290531,0.74718804,1.2249563,1,3,0,3.1708183,1.0373038,-0.36090201,0.50915518,-1.4074318
-2.6188779,0.92046207,1.2249563,1,3,0,2.7021855,0.65178968,-0.44513356,0.39459605,-1.3335142
-2.5044448,1,1.2249563,1,1,0,2.6247134,0.70676741,-0.43079509,0.41409709,-1.3446138
-2.3162821,0.98912172,1.2249563,2,3,0,2.5612024,0.97466769,-0.37234975,0.49358568,-1.3960268
-2.3164288,0.99995407,1.2249563,1,1,0,2.3166261,0.97644903,-0.37201416,0.4940421,-1.3963543
-2.3164288,0.72529541,1.2249563,1,3,0,3.2712669,0.97644903,-0.37201416,0.4940421,-1.3963543
-2.6257817,0.89669094,1.2249563,2,3,0,2.8922698,1.4098434,-0.30510988,0.58503527,-1.470888
-3.3295961,0.80190079,1.2249563,1,1,0,3.3558741,1.9282,-0.25109864,0.65849327,-1.5484448
-3.7422311,0.87865277,1.2249563,1,1,0,3.9937363,2.1967867,-0.2300019,0.68718589,-1.584568
-3.120132,1,1.2249563,1,1,0,3.7097962,1.7861229,-0.2639033,0.64107829,-1.5282837
-2.3381788,1,1.2249563,1,3,0,2.9020739,1.0623349,-0.35652165,0.51511269,-1.4119272
-2.9213349,0.49305256,1.2249563,2,3,0,6.2274802,1.6445849,-0.27802739,0.62186882,-1.5074078
-2.9213349,0.74010812,1.2249563,1,1,0,3.6576024,1.6445849,-0.27802739,0.62186882,-1.5074078
-3.2490495,0.90231312,1.2249563,1,1,0,3.3884295,1.8742092,-0.25581542,0.65207821,-1.5408736
-2.7284617,1,1.2249563,1,1,0,3.14932,1.4963693,-0.29453456,0.59941824,-1.484638
-2.7560458,0.9913845,1.2249563,1,1,0,2.8804957,1.5185181,-0.29194431,0.60294111,-1.4881024
-2.4849978,1,1.2249563,1,1,0,2.6925081,1.274212,-0.32330628,0.56028726,-1.4486136
-2.3223076,0.84684576,1.2249563,2,3,0,3.3315291,1.0130097,-0.36525757,0.5032314,-1.4030349
-3.1919077,0.78923131,1.2249563,1,3,0,3.3429376,0.4980988,-0.49080009,0.33248728,-1.3014715
-3.5438595,0.96551938,1.2249563,2,3,0,3.758995,0.44167308,-0.51000954,0.30636147,-1.2893373
-2.59401,1,1.2249563,1,1,0,3.2580098,0.66235594,-0.44230421,0.39844412,-1.3356623
-2.6434531,0.9847101,1.2249563,1,1,0,2.7216645,0.64192065,-0.44780911,0.39095717,-1.3315015
-2.6434531,0.41292835,1.2249563,1,3,0,5.2432011,0.64192065,-0.44780911,0.39095717,-1.3315015
-2.6699938,0.99176578,1.2249563,1,1,0,2.7674712,0.63182693,-0.45057905,0.38718992,-1.3294366
-2.3984401,1,1.2249563,1,1,0,2.5885629,0.78287624,-0.41240497,0.43910857,-1.3596664
-2.5365351,0.9859372,1.2249563,2,3,0,2.546472,0.68950263,-0.43519732,0.40810983,-1.3411487
-2.9867162,0.86917443,1.2249563,1,1,0,3.0076653,0.54044794,-0.47730729,0.35083817,-1.3104493
-2.3194084,0.99163307,1.2249563,1,3,0,2.8873882,0.99890907,-0.36783415,0.49972712,-1.4004675
-2.4569503,0.9619425,1.2249563,1,3,0,2.4898572,0.73623304,-0.42348406,0.42404045,-1.3504844
-2.5488809,0.84507406,1.2249563,2,3,0,3.2830685,0.68330324,-0.4368001,0.40592997,-1.3398999
-2.3627951,1,1.2249563,1,1,0,2.4918122,0.82233086,-0.40347614,0.45125223,-1.3673281
-3.0465336,0.84612136,1.2249563,1,3,0,3.0552683,0.52713686,-0.48146767,0.34517984,-1.3076395
-2.3882473,0.8775393,1.2249563,2,3,0,3.9270025,0.79291554,-0.41009574,0.44224924,-1.361625
-2.3500563,1,1.2249563,1,1,0,2.3820456,0.84064242,-0.39946218,0.45671142,-1.3708515
-2.4012411,0.99471125,1.2249563,2,3,0,2.4058591,0.78024835,-0.41301374,0.43828062,-1.3591527
-2.3245619,0.99516246,1.2249563,1,3,0,2.4106271,1.0220387,-0.36362659,0.50544962,-1.404673
-2.5280811,0.95043348,1.2249563,1,3,0,2.5328454,1.3187562,-0.31709544,0.56873431,-1.4560289
-2.3157652,1,1.2249563,1,3,0,2.481566,0.9660662,-0.37397877,0.49137013,-1.394443
-2.3763346,0.95018456,1.2249563,2,3,0,2.5580259,0.80577282,-0.40717582,0.44622048,-1.3641243
-2.3763346,0.72734475,1.2249563,1,3,0,3.498245,0.80577282,-0.40717582,0.44622048,-1.3641243
-4.7527857,0.52683667,1.2249563,1,3,0,5.3013502,2.8354022,-0.19170532,0.73927115,-1.661553
-4.1962129,1,1.2249563,1,1,0,5.0748391,2.4845876,-0.21100547,0.71302199,-1.6206861
-4.8231073,0.94061617,1.2249563,2,3,0,5.3088811,2.8798765,-0.18950785,0.74225983,-1.6665096
-2.9992088,1,1.2249563,1,1,0,4.2958458,1.7010443,-0.27221584,0.62977282,-1.5158334
-2.6509482,1,1.2249563,2,3,0,2.9484502,1.4317436,-0.30236206,0.58877244,-1.4744012
-2.6914545,0.98737468,1.2249563,1,1,0,2.7893925,1.4659954,-0.29816237,0.59448424,-1.4798508
-2.3655576,0.93708812,1.2249563,2,3,0,3.0713818,0.81874842,-0.40427088,0.45017134,-1.3666363
-2.3655576,0.35760898,1.2249563,1,3,0,5.8057479,0.81874842,-0.40427088,0.45017134,-1.3666363
-2.4041621,0.93668768,1.2249563,2,3,0,2.6750165,0.7775624,-0.41363782,0.43743184,-1.3586271
-3.6943041,0.73021384,1.2249563,1,3,0,3.7112549,0.42179542,-0.51713982,0.29666393,-1.2850167
-2.3453237,0.96284547,1.2249563,2,3,0,3.8967665,1.0788301,-0.35369269,0.51896021,-1.4148705
-2.4448915,0.96928119,1.2249563,1,1,0,2.446057,1.2289182,-0.32987618,0.55135186,-1.4409703
-2.3248153,0.99415404,1.2249563,1,3,0,2.4497544,0.89475944,-0.38805297,0.47222852,-1.3811458
-3.1219505,0.55137159,1.2249563,2,3,0,5.4384592,1.7873823,-0.26378407,0.64124045,-1.5284658
-2.3290525,0.97082101,1.2249563,2,3,0,3.2795246,0.8824033,-0.39060016,0.46876421,-1.3788109
-2.6959942,0.91213471,1.2249563,1,3,0,2.7066778,0.6224441,-0.45318481,0.38364594,-1.3275113
-4.3784174,0.81024409,1.2249563,2,3,0,4.3827384,0.35119236,-0.54416162,0.25991293,-1.2694843
-2.6773293,1,1.2249563,2,3,0,4.1030134,1.4541798,-0.29959786,0.5925319,-1.4779771
-2.7939273,0.96408563,1.2249563,1,1,0,2.8880366,1.5483384,-0.28852801,0.60758744,-1.4927319
-2.4158454,1,1.2249563,2,3,0,2.7231849,0.76732399,-0.41603409,0.43417279,-1.3566199
-2.4774992,0.98093851,1.2249563,1,1,0,2.4994639,0.72280873,-0.4267839,0.41955251,-1.3478166
-2.3166661,1,1.2249563,1,3,0,2.4382934,0.93493211,-0.37999629,0.483186,-1.388674
-2.528963,0.94618314,1.2249563,1,3,0,2.5446807,0.69341946,-0.43419073,0.40947885,-1.3419365
-2.5273682,1,1.2249563,1,1,0,2.5943044,0.69425607,-0.43397633,0.40977045,-1.3421046
-2.3583313,1,1.2249563,2,3,0,2.4755082,0.82838383,-0.40214041,0.45306889,-1.368495
-2.3200389,0.99758445,1.2249563,1,3,0,2.36297,1.0023202,-0.36720751,0.50057939,-1.4010896
-2.580262,0.90101128,1.2249563,2,3,0,2.8553492,1.3687735,-0.31039989,0.5778406,-1.4642381
-3.7939796,0.83631663,1.2249563,2,3,0,3.9744798,0.40968129,-0.52158387,0.2906198,-1.2823721
-2.8432068,1,1.2249563,1,1,0,3.5559843,0.57662522,-0.46635498,0.36573385,-1.3180296
-2.640734,1,1.2249563,1,1,0,2.8508173,0.64298671,-0.44751855,0.39135235,-1.3317192
-2.8814755,0.97592945,1.2249563,2,3,0,2.947551,0.56630544,-0.46942761,0.36155492,-1.3158757
-2.5439957,1,1.2249563,2,3,0,2.7816459,1.334404,-0.31496992,0.57162513,-1.4586103
-2.5361693,1,1.2249563,1,1,0,2.6092463,1.3267563,-0.31600517,0.57021713,-1.4573502
-2.3400032,1,1.2249563,1,3,0,2.474984,1.0667442,-0.35576102,0.51614718,-1.4127155
-2.3400032,0.5623954,1.2249563,1,3,0,4.2173752,1.0667442,-0.35576102,0.51614718,-1.4127155
-2.4655965,0.961424,1.2249563,1,3,0,2.5382424,0.7304429,-0.42490106,0.42211326,-1.3493351
-3.2476413,0.7920468,1.2249563,1,3,0,3.6938124,1.8732589,-0.25590003,0.65196314,-1.5407394
-3.0682332,1,1.2249563,1,1,0,3.396823,1.7499452,-0.26737516,0.63635639,-1.5230251
-2.510069,1,1.2249563,1,1,0,2.9041771,1.3005562,-0.31960402,0.56532252,-1.4530112
-2.3162887,1,1.2249563,1,3,0,2.4645573,0.97475071,-0.3723341,0.49360697,-1.3960421
-2.3519003,0.99095259,1.2249563,1,3,0,2.3534772,1.0925204,-0.35137867,0.5221074,-1.4173017
-2.5827431,0.89637306,1.2249563,2,3,0,2.9048997,0.66735675,-0.44097763,0.40024833,-1.3366765
-2.3245534,0.99494341,1.2249563,2,3,0,2.6103446,1.0220065,-0.36363237,0.50544176,-1.4046672
-2.317847,1,1.2249563,2,3,0,2.322574,0.98905317,-0.3696568,0.49724823,-1.3986661
-2.620832,0.72164368,1.2249563,2,3,0,3.9392315,1.4054734,-0.30566417,0.58428141,-1.4701843
-2.620832,0.66635975,1.2249563,1,1,0,3.5143484,1.4054734,-0.30566417,0.58428141,-1.4701843
-2.4114647,1,1.2249563,2,3,0,2.5637355,1.1869311,-0.3362095,0.54273823,-1.43379
-2.9616898,0.92379273,1.2249563,2,3,0,2.961768,1.6740306,-0.27496582,0.6260327,-1.5118186
-2.6338246,1,1.2249563,2,3,0,2.9145958,1.4168991,-0.30421917,0.58624668,-1.4720224
-2.8664273,0.92963464,1.2249563,1,1,0,2.9322811,1.6037799,-0.28238447,0.61594297,-1.5012346
-3.3901161,0.94979802,1.2249563,2,3,0,3.3901291,0.46434935,-0.50211176,0.31710285,-1.2942371
-5.7204589,0.82055039,1.2249563,2,3,0,5.8430759,3.4553739,-0.16502925,0.77555194,-1.7266643
-5.7204589,0.31693562,1.2249563,1,1,0,8.8347356,3.4553739,-0.16502925,0.77555194,-1.7266643
-4.3184853,1,1.2249563,1,1,0,5.7025878,2.5616193,-0.20644178,0.71922883,-1.6299411
-2.716907,1,1.2249563,2,3,0,3.8251441,1.4869711,-0.29564759,0.59790446,-1.4831613
-3.4071712,0.93534793,1.2249563,2,3,0,3.4266407,0.46169951,-0.50302201,0.31586486,-1.2936662
-2.7936058,1,1.2249563,1,1,0,3.2873781,0.59087341,-0.46217821,0.37141447,-1.3209923
-2.3994975,0.93655964,1.2249563,2,3,0,3.1441999,1.1705493,-0.33874699,0.53928712,-1.4309634
-3.0885377,0.71251075,1.2249563,2,3,0,4.1625134,0.51829904,-0.48427023,0.34136822,-1.3057678
-3.4146741,0.90371542,1.2249563,1,1,0,3.6023427,0.46054509,-0.5034196,0.31532412,-1.2934173
-2.6152371,1,1.2249563,2,3,0,3.2243949,1.4005074,-0.3062965,0.58342141,-1.4693835
-2.399954,1,1.2249563,2,3,0,2.5634137,0.78144942,-0.41273528,0.43865933,-1.3593875
-2.9795091,0.87308803,1.2249563,1,3,0,2.9797168,0.54211418,-0.47679156,0.35153958,-1.3108002
-3.1530906,0.94749463,1.2249563,1,1,0,3.3301937,0.50544408,-0.48840541,0.33574417,-1.3030367
-2.3693662,1,1.2249563,1,3,0,2.9187576,0.81399235,-0.40533083,0.44872976,-1.3657168
-2.5950528,0.93196634,1.2249563,1,1,0,2.5959484,0.66190013,-0.44242552,0.39827913,-1.3355698
-2.3783367,1,1.2249563,2,3,0,2.5511033,1.139064,-0.34373306,0.53250582,-1.4254905
-2.3638483,1,1.2249563,1,1,0,2.3864968,1.1148936,-0.34766148,0.52716297,-1.4212528
-2.5591926,0.87111263,1.2249563,2,3,0,3.0348447,1.3490091,-0.31301157,0.57428858,-1.4610089
-3.9576266,0.80290687,1.2249563,2,3,0,4.2121818,0.3913423,-0.52845876,0.28126961,-1.2783522
-2.7569069,1,1.2249563,1,1,0,3.6107059,0.60213804,-0.45892864,0.37583406,-1.3233256
-3.0665679,0.96939273,1.2249563,2,3,0,3.1581049,0.52287218,-0.48281598,0.34334607,-1.3067369
-3.057115,1,1.2249563,1,1,0,3.2928716,0.52487292,-0.48218249,0.34420765,-1.3071605
-2.6412123,1,1.2249563,2,3,0,2.9763219,0.64279875,-0.44756975,0.39128271,-1.3316808
-2.317111,0.99632043,1.2249563,1,3,0,2.5911492,0.98324069,-0.37074019,0.49577477,-1.3976012
-3.3557352,0.76131759,1.2249563,1,3,0,3.4485613,1.945578,-0.24961723,0.66050806,-1.5508587
-4.7674625,0.88085241,1.2249563,2,3,0,4.9188217,2.8446795,-0.19124274,0.73990029,-1.6625909
-2.8523882,1,1.2249563,1,1,0,4.1846597,1.5931934,-0.28353729,0.61437508,-1.4996214
-2.8203984,1,1.2249563,1,1,0,2.9948358,1.568811,-0.28622855,0.61071483,-1.4958873
-2.3798585,0.88953002,1.2249563,2,3,0,3.5242856,1.1414603,-0.34334843,0.53302893,-1.4259089
-2.9925386,0.89241421,1.2249563,2,3,0,3.1533417,0.53911209,-0.47772156,0.35027474,-1.3101678
-2.4382368,0.91571118,1.2249563,2,3,0,3.472732,1.2209256,-0.33106333,0.54973728,-1.4396105
-2.4265217,1,1.2249563,1,1,0,2.4672307,1.2064431,-0.33323634,0.54678187,-1.4371383
-3.2246666,0.68787733,1.2249563,2,3,0,4.4053165,0.49210588,-0.49277135,0.32980627,-1.300192
-2.7368148,1,1.2249563,1,1,0,3.1402374,0.6085985,-0.45708549,0.37834084,-1.3246601
-2.8433215,0.96739447,1.2249563,1,1,0,2.9564327,0.57659346,-0.46636438,0.36572108,-1.3180229
-3.8339198,0.91143487,1.2249563,2,3,0,3.8713019,2.2553035,-0.22586743,0.69280898,-1.5921177
-2.4098911,0.69691823,1.2249563,2,3,0,6.402765,0.77244582,-0.41483188,0.43580786,-1.3576248
-2.5925635,0.98153052,1.2249563,2,3,0,2.6021585,0.66299017,-0.44213552,0.39867354,-1.335791
-3.6331879,0.87902249,1.2249563,2,3,0,3.6401349,0.42962367,-0.5143081,0.30051522,-1.286721
-2.3250792,0.94221326,1.2249563,2,3,0,3.9568538,1.0239544,-0.36328241,0.50591771,-1.4050199
-2.3164126,0.99784188,1.2249563,2,3,0,2.3372714,0.93759358,-0.37947433,0.4838959,-1.3891694
-2.3571549,0.98865037,1.2249563,1,3,0,2.3659966,1.1026979,-0.34967793,0.5244205,-1.4191025
-2.5477889,0.94199921,1.2249563,1,1,0,2.5482511,1.3380788,-0.31447487,0.57229842,-1.4592148
-2.3958731,1,1.2249563,2,3,0,2.5087156,1.1654075,-0.33955135,0.53819315,-1.4300733
-2.4736659,0.6983874,1.2249563,2,3,0,4.2889479,1.261854,-0.32507272,0.55788481,-1.4465386
-2.3180248,0.99684336,1.2249563,1,3,0,2.4562679,0.92428581,-0.38209866,0.48032668,-1.3866883
-2.3180248,0.56037141,1.2249563,1,3,0,4.0565764,0.92428581,-0.38209866,0.48032668,-1.3866883
